"ID","gender","profession","job_satisfaction"
1,"Female","Doctor",3
2,"Male","Nurse",0
3,"Female","Doctor",2
4,"Male","Nutritionist",4
5,"Male","Doctor",4
6,"Female","Physiotherapist",1
7,"Female","Nutritionist",4
8,"Male","Psychologist",5
9,"Female","Doctor",3
10,"Female","Nurse",3
11,"Male","Nutritionist",4
12,"Female","Nurse",2
13,"Female","Nurse",3
14,"Female","Nutritionist",3
15,"Female","Psychologist",5
16,"Male","Nurse",1
17,"Female","Doctor",4
18,"Female","Nutritionist",4
19,"Female","Doctor",5
20,"Male","Doctor",1
21,"Male","Psychologist",5
22,"Female","Nurse",0
23,"Female","Nurse",1
24,"Male","Nurse",1
25,"Female","Nurse",3
26,"Male","Nutritionist",4
27,"Female","Nurse",4
28,"Female","Nurse",4
29,"Female","Nurse",1
30,"Female","Psychologist",1
31,"Male","Psychologist",3
32,"Male","Physiotherapist",3
33,"Female","Psychologist",4
34,"Male","Psychologist",5
35,"Female","Doctor",3
36,"Female","Psychologist",4
37,"Male","Physiotherapist",4
38,"Female","Physiotherapist",5
39,"Female","Nutritionist",5
40,"Female","Doctor",5
41,"Female","Nurse",4
42,"Female","Doctor",2
43,"Female","Nurse",3
44,"Female","Nurse",4
45,"Female","Physiotherapist",3
46,"Female","Nurse",1
47,"Female","Nurse",2
48,"Female","Nurse",0
49,"Female","Nurse",0
50,"Male","Psychologist",3
51,"Female","Physiotherapist",4
52,"Female","Doctor",3
53,"Male","Nurse",4
54,"Female","Nurse",2
55,"Female","Nurse",4
56,"Female","Nurse",1
57,"Female","Doctor",3
58,"Male","Nurse",2
59,"Male","Doctor",4
60,"Female","Nurse",5
61,"Female","Doctor",1
62,"Female","Nurse",5
63,"Female","Psychologist",3
64,"Female","Nurse",0
65,"Male","Nurse",4
66,"Female","Doctor",2
67,"Male","Psychologist",4
68,"Male","Nurse",2
69,"Male","Doctor",3
70,"Female","Nurse",4
71,"Male","Psychologist",2
72,"Female","Nurse",3
73,"Male","Physiotherapist",4
74,"Female","Psychologist",5
75,"Female","Psychologist",3
76,"Female","Psychologist",3
77,"Female","Nurse",0
78,"Female","Doctor",4
79,"Female","Physiotherapist",4
80,"Female","Doctor",2
81,"Female","Physiotherapist",5
82,"Female","Nurse",3
83,"Female","Psychologist",4
84,"Male","Nurse",3
85,"Female","Doctor",3
86,"Female","Doctor",4
87,"Male","Nurse",3
88,"Male","Doctor",3
89,"Male","Nutritionist",5
90,"Female","Nutritionist",3
91,"Female","Nurse",2
92,"Female","Nurse",3
93,"Female","Nutritionist",5
94,"Female","Psychologist",2
95,"Female","Nutritionist",3
96,"Female","Doctor",5
97,"Male","Doctor",0
98,"Female","Psychologist",5
99,"Female","Nurse",3
100,"Female","Doctor",5
